model,model_label,model_sort_key,family,layer,n,mean,median,ci_low,ci_high
Qwen_Qwen3-1.7B,1.7B,1.7,constant_repetition,6,5,4.042568063735962,4.013769149780273,3.8002694129943846,4.330520391464233
Qwen_Qwen3-1.7B,1.7B,1.7,regular_gsm8k_nothink,6,30,14.358568223317464,14.09302282333374,13.687631323337556,15.146944157282512
Qwen_Qwen3-1.7B,1.7B,1.7,short_cycle_repetition,6,5,6.38551139831543,6.102168560028076,4.885052871704102,7.99304723739624
Qwen_Qwen3-1.7B,1.7B,1.7,templatic_repetition,6,5,3.42156400680542,3.085350751876831,2.923555040359497,4.32804765701294
Qwen_Qwen3-1.7B,1.7B,1.7,constant_repetition,13,5,4.828312873840332,4.834778785705566,4.512612342834473,5.1998601913452145
Qwen_Qwen3-1.7B,1.7B,1.7,regular_gsm8k_nothink,13,30,10.93807430267334,10.829650402069092,10.66104809363683,11.228681315581003
Qwen_Qwen3-1.7B,1.7B,1.7,short_cycle_repetition,13,5,6.067447757720947,5.648697376251221,5.30038366317749,6.99024019241333
Qwen_Qwen3-1.7B,1.7B,1.7,templatic_repetition,13,5,4.048456144332886,3.8159916400909424,3.7964367389678957,4.360480546951294
Qwen_Qwen3-1.7B,1.7B,1.7,constant_repetition,20,5,4.974426746368408,5.0480451583862305,4.6631237983703615,5.282124874591827
Qwen_Qwen3-1.7B,1.7B,1.7,regular_gsm8k_nothink,20,30,11.925457286834718,11.838595390319824,11.53995518287023,12.288697461287182
Qwen_Qwen3-1.7B,1.7B,1.7,short_cycle_repetition,20,5,3.1612223625183105,3.360538959503174,2.744078540802002,3.4250954663753497
Qwen_Qwen3-1.7B,1.7B,1.7,templatic_repetition,20,5,2.8925381183624266,2.8182437419891357,2.767984914779663,3.0468594074249267
Qwen_Qwen3-4B,4B,4.0,constant_repetition,6,5,7.192068195343017,4.910504341125488,4.42517499923706,12.147213745117188
Qwen_Qwen3-4B,4B,4.0,regular_gsm8k_nothink,6,30,13.453559811909994,13.028643131256104,12.571457099914552,14.43344789902369
Qwen_Qwen3-4B,4B,4.0,short_cycle_repetition,6,5,6.900938034057617,5.784148216247559,5.363673973083496,8.878775215148925
Qwen_Qwen3-4B,4B,4.0,templatic_repetition,6,5,2.412647581100464,2.3344638347625732,2.2472802639007567,2.5780148983001707
Qwen_Qwen3-4B,4B,4.0,constant_repetition,13,5,7.697949600219727,7.592316627502441,7.022215461730957,8.425105667114257
Qwen_Qwen3-4B,4B,4.0,regular_gsm8k_nothink,13,30,11.694864463806152,11.814687252044678,11.436669905185699,11.947074960072836
Qwen_Qwen3-4B,4B,4.0,short_cycle_repetition,13,5,6.8320615768432615,6.833587646484375,5.930764007568359,7.7769123077392575
Qwen_Qwen3-4B,4B,4.0,templatic_repetition,13,5,3.2184723377227784,3.1543045043945312,3.074853610992432,3.42247633934021
Qwen_Qwen3-4B,4B,4.0,constant_repetition,20,5,7.124846744537353,7.315110683441162,6.394504070281982,7.876632308959961
Qwen_Qwen3-4B,4B,4.0,regular_gsm8k_nothink,20,30,11.458935864766438,11.36694860458374,11.23733549118042,11.670296780268352
Qwen_Qwen3-4B,4B,4.0,short_cycle_repetition,20,5,6.318731784820557,6.741900444030762,4.656967449188232,8.026975617408752
Qwen_Qwen3-4B,4B,4.0,templatic_repetition,20,5,20.13273105621338,20.812679290771484,11.782542991638184,28.142347717285155
Qwen_Qwen3-8B,8B,8.0,constant_repetition,6,5,4.1746162414550785,4.127738952636719,3.829579162597656,4.540650939941406
Qwen_Qwen3-8B,8B,8.0,regular_gsm8k_nothink,6,30,15.189794063568115,14.076751232147219,14.242452968756357,16.200888101259864
Qwen_Qwen3-8B,8B,8.0,short_cycle_repetition,6,5,4.761407566070557,4.6066131591796875,4.571654319763184,4.967225742340088
Qwen_Qwen3-8B,8B,8.0,templatic_repetition,6,5,3.191121816635132,3.054923295974731,2.7490447521209718,3.766245174407959
Qwen_Qwen3-8B,8B,8.0,constant_repetition,13,5,6.9764374732971195,6.703474998474121,6.395440864562988,7.6159186363220215
Qwen_Qwen3-8B,8B,8.0,regular_gsm8k_nothink,13,30,12.29424664179484,12.083884239196777,11.947187077999116,12.6633958307902
Qwen_Qwen3-8B,8B,8.0,short_cycle_repetition,13,5,5.520704364776611,5.368624687194824,5.1220308303833,6.103527927398682
Qwen_Qwen3-8B,8B,8.0,templatic_repetition,13,5,2.9295250415802,2.830268383026123,2.7838464736938477,3.15696005821228
Qwen_Qwen3-8B,8B,8.0,constant_repetition,20,5,7.617117214202881,7.574487209320068,7.277395262718202,7.9768274307250975
Qwen_Qwen3-8B,8B,8.0,regular_gsm8k_nothink,20,30,12.022887039184571,12.084869384765625,11.762223241329192,12.249435416062674
Qwen_Qwen3-8B,8B,8.0,short_cycle_repetition,20,5,6.321354866027832,5.683040618896484,5.4760339736938475,7.625855350494385
Qwen_Qwen3-8B,8B,8.0,templatic_repetition,20,5,6.22234468460083,6.117682456970215,6.025585556030274,6.419103813171387
Qwen_Qwen3-14B,14B,14.0,constant_repetition,6,5,3.616987133026123,3.4693429470062256,3.3909801959991457,3.879135847091675
Qwen_Qwen3-14B,14B,14.0,regular_gsm8k_nothink,6,30,16.214562702178956,16.067646026611328,15.631106847922007,16.81615801334381
Qwen_Qwen3-14B,14B,14.0,short_cycle_repetition,6,5,2.5839113712310793,2.7018399238586426,2.0536727905273438,3.034773826599121
Qwen_Qwen3-14B,14B,14.0,templatic_repetition,6,5,3.581622505187988,3.4805948734283447,3.0578141689300535,4.186151456832886
Qwen_Qwen3-14B,14B,14.0,constant_repetition,13,5,5.756367778778076,5.872961521148682,4.791057777404785,6.698306655883789
Qwen_Qwen3-14B,14B,14.0,regular_gsm8k_nothink,13,30,12.121848583221436,12.102408409118652,11.84921867529551,12.405022654533385
Qwen_Qwen3-14B,14B,14.0,short_cycle_repetition,13,5,4.206252145767212,4.339057922363281,3.773644895553589,4.544130325317383
Qwen_Qwen3-14B,14B,14.0,templatic_repetition,13,5,2.266204309463501,2.210487365722656,2.1746521949768067,2.3861745834350585
Qwen_Qwen3-14B,14B,14.0,constant_repetition,20,5,8.440472412109376,9.005763053894043,7.40113468170166,9.090229034423828
Qwen_Qwen3-14B,14B,14.0,regular_gsm8k_nothink,20,30,12.608972199757893,12.472479820251465,12.305401728153228,12.944157409667968
Qwen_Qwen3-14B,14B,14.0,short_cycle_repetition,20,5,5.72974271774292,5.712367534637451,5.026273441314697,6.433211994171143
Qwen_Qwen3-14B,14B,14.0,templatic_repetition,20,5,5.17226095199585,5.1972270011901855,5.085520076751709,5.25900182723999
Qwen_Qwen3-32B,32B,32.0,constant_repetition,6,5,6.165652465820313,7.256117343902588,4.411752033233642,7.8884858131408695
Qwen_Qwen3-32B,32B,32.0,regular_gsm8k_nothink,6,30,14.430304177602132,14.22625970840454,13.718309965133667,15.14403923511505
