model,model_label,model_sort_key,prompt_variant,layer,n,mean,median,ci_low,ci_high
Qwen_Qwen3-1.7B,1.7B,1.7,canonical,6,100,13.834591856002808,13.996417045593262,13.489090857744216,14.194625855922698
Qwen_Qwen3-1.7B,1.7B,1.7,irrelevant_context,6,100,13.90541356086731,13.952633857727053,13.590340789556505,14.237319884061813
Qwen_Qwen3-1.7B,1.7B,1.7,repetitive_filler,6,100,14.258836526870727,14.213651657104492,13.900994853973389,14.632813301324843
Qwen_Qwen3-1.7B,1.7B,1.7,canonical,13,100,10.976564540863038,10.963662147521973,10.793400653600692,11.16562363409996
Qwen_Qwen3-1.7B,1.7B,1.7,irrelevant_context,13,100,10.912038173675537,10.917193412780762,10.737107481956482,11.096481012105942
Qwen_Qwen3-1.7B,1.7B,1.7,repetitive_filler,13,100,10.96407235145569,11.00121545791626,10.81450786471367,11.124385990858078
Qwen_Qwen3-1.7B,1.7B,1.7,canonical,20,100,11.541344232559204,11.447125434875488,11.327756226301194,11.773196187019348
Qwen_Qwen3-1.7B,1.7B,1.7,irrelevant_context,20,100,11.69252387046814,11.766225814819336,11.480801349401474,11.907971940279007
Qwen_Qwen3-1.7B,1.7B,1.7,repetitive_filler,20,100,11.59921184539795,11.513258457183838,11.390373339891433,11.836393204927445
Qwen_Qwen3-4B,4B,4.0,canonical,6,100,12.943497886657715,12.394842624664307,12.496158271551131,13.43133840751648
Qwen_Qwen3-4B,4B,4.0,irrelevant_context,6,100,13.343529405593872,12.753653526306152,12.858473390579224,13.848010074615479
Qwen_Qwen3-4B,4B,4.0,repetitive_filler,6,100,12.938255119323731,12.6822190284729,12.534873636007308,13.383385868787764
Qwen_Qwen3-4B,4B,4.0,canonical,13,100,11.391790647506713,11.222111225128174,11.2119445002079,11.580213764190674
Qwen_Qwen3-4B,4B,4.0,irrelevant_context,13,100,11.58940260887146,11.519959449768066,11.403716879844666,11.781403439521789
Qwen_Qwen3-4B,4B,4.0,repetitive_filler,13,100,11.506828937530518,11.462617874145508,11.33739540028572,11.687097715854645
Qwen_Qwen3-4B,4B,4.0,canonical,20,100,11.48650580406189,11.480164051055908,11.333272115945816,11.638610514640808
Qwen_Qwen3-4B,4B,4.0,irrelevant_context,20,100,11.54499864578247,11.554977893829346,11.384349375247956,11.700599439620973
Qwen_Qwen3-4B,4B,4.0,repetitive_filler,20,100,11.579048042297364,11.594480991363525,11.424833884239197,11.731997602939606
Qwen_Qwen3-8B,8B,8.0,canonical,6,100,14.329158697128296,14.100367069244385,13.912882576465607,14.733888056278229
Qwen_Qwen3-8B,8B,8.0,irrelevant_context,6,100,14.83747407913208,14.392341136932373,14.376536043882371,15.331186172008515
Qwen_Qwen3-8B,8B,8.0,repetitive_filler,6,100,14.100108680725098,13.994535446166992,13.699773602962495,14.462645883321763
Qwen_Qwen3-8B,8B,8.0,canonical,13,100,11.986618986129761,11.96290111541748,11.809087188959122,12.184911095142363
Qwen_Qwen3-8B,8B,8.0,irrelevant_context,13,100,12.155993585586549,11.94117021560669,11.971454671621322,12.358419902801515
Qwen_Qwen3-8B,8B,8.0,repetitive_filler,13,100,11.909020566940308,11.944186687469482,11.747068452358246,12.090796343564985
Qwen_Qwen3-8B,8B,8.0,canonical,20,100,11.762973737716674,11.774701595306396,11.623271987915038,11.913792023897171
Qwen_Qwen3-8B,8B,8.0,irrelevant_context,20,100,12.345819129943848,12.00668478012085,11.850226191997528,13.261491180419922
Qwen_Qwen3-8B,8B,8.0,repetitive_filler,20,100,11.825604429244995,11.811009883880615,11.680193083286285,11.979135221004485
Qwen_Qwen3-14B,14B,14.0,canonical,6,100,15.860513715744018,15.961100578308105,15.466607546567918,16.252947264671327
Qwen_Qwen3-14B,14B,14.0,irrelevant_context,6,100,15.909164628982545,15.516473293304443,15.520910448551179,16.31099213242531
Qwen_Qwen3-14B,14B,14.0,repetitive_filler,6,100,15.897181177139283,15.73574161529541,15.508933583021165,16.28932649540901
Qwen_Qwen3-14B,14B,14.0,canonical,13,100,11.818976459503174,11.72908067703247,11.608201460599899,12.02067847108841
Qwen_Qwen3-14B,14B,14.0,irrelevant_context,13,100,12.004423780441284,11.957190036773682,11.803612773418427,12.20778575348854
Qwen_Qwen3-14B,14B,14.0,repetitive_filler,13,100,11.80349515914917,11.748550415039062,11.594000970363616,12.006924701929092
Qwen_Qwen3-14B,14B,14.0,canonical,20,100,12.373786334991456,12.306935787200928,12.19384123301506,12.555264763116837
Qwen_Qwen3-14B,14B,14.0,irrelevant_context,20,100,12.512708883285523,12.438879489898682,12.342581664323808,12.68423033618927
Qwen_Qwen3-14B,14B,14.0,repetitive_filler,20,100,12.392711334228515,12.437937259674072,12.224600914001465,12.556990856409072
Qwen_Qwen3-32B,32B,32.0,canonical,6,100,15.0656147480011,14.968904972076416,14.632244524955748,15.515021942138672
Qwen_Qwen3-32B,32B,32.0,irrelevant_context,6,100,15.086469755172729,14.944856643676758,14.668361508846283,15.513113266468046
Qwen_Qwen3-32B,32B,32.0,repetitive_filler,6,100,14.95848427772522,14.581210613250732,14.558510476827621,15.35862657022476
Qwen_Qwen3-32B,32B,32.0,canonical,13,100,13.844310083389281,13.74909496307373,13.54911602830887,14.143416080951692
Qwen_Qwen3-32B,32B,32.0,irrelevant_context,13,100,13.948038568496704,13.748013019561768,13.642466925382616,14.26038170838356
Qwen_Qwen3-32B,32B,32.0,repetitive_filler,13,100,13.826896886825562,13.87706184387207,13.553560024023055,14.119427533388137
Qwen_Qwen3-32B,32B,32.0,canonical,20,100,12.88323073387146,12.816390991210938,12.669960192918778,13.102665504932403
Qwen_Qwen3-32B,32B,32.0,irrelevant_context,20,100,13.099369459152221,12.93115234375,12.881824226856232,13.337300413370134
Qwen_Qwen3-32B,32B,32.0,repetitive_filler,20,100,13.01287826538086,12.861278533935547,12.81312722158432,13.214012748718263
