model,model_label,model_sort_key,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_apple,no_think,degenerate,constant_repetition,,full_output,no_think_full,6,cross_model,256,256,1.1351509809494018,5.316822352353483,1.9170604944229126,214.3325958251953,175.70233055532066,4.90952560990204,0.0,-3.6187260771482235,-2.369878815487027
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_apple,no_think,degenerate,constant_repetition,,full_output,no_think_full,13,cross_model,256,256,1.7326571941375732,8.830520397983491,2.910616159439087,91.1523208618164,38.6188578281926,8.674922101308873,0.0,-0.17058226071636406,-0.4083564206957817
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_apple,no_think,degenerate,constant_repetition,,full_output,no_think_full,20,cross_model,256,256,1.5059205293655396,6.7803417053073645,2.8639564514160156,17.69001007080078,6.251430200517132,6.76172264883129,0.0,2.714659544471485,1.9083876460790634
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_data,no_think,degenerate,constant_repetition,,full_output,no_think_full,6,cross_model,256,256,1.1351509809494018,6.980652050580829,1.982479214668274,428.3065490722656,702.847818882548,6.158042159947483,0.0,-6.53907458943149,-4.381450330838561
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_data,no_think,degenerate,constant_repetition,,full_output,no_think_full,13,cross_model,256,256,1.7326571941375732,8.565797969698906,3.188464879989624,135.54075622558594,75.44825010070902,8.329500093954168,0.0,-0.43245262439126236,-0.48835577815771103
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_data,no_think,degenerate,constant_repetition,,full_output,no_think_full,20,cross_model,256,256,1.5059205293655396,5.894425863400102,2.6892874240875244,17.312288284301758,4.831290499723622,5.87599376219808,0.0,2.9781095697523634,2.0339001044631004
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_null,no_think,degenerate,constant_repetition,,full_output,no_think_full,6,cross_model,256,256,1.1351509809494018,4.763017246499658,1.7531925439834595,158.26292419433594,95.11879816767475,4.464615609638852,0.0,-0.7225628726521423,-0.3855883777141571
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_null,no_think,degenerate,constant_repetition,,full_output,no_think_full,13,cross_model,256,256,1.7326571941375732,7.856065779924393,2.8271498680114746,362.6376647949219,498.47540588496986,7.154706372543514,0.0,-10.109024016030357,-7.688678622245789
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_null,no_think,degenerate,constant_repetition,,full_output,no_think_full,20,cross_model,256,256,1.5059205293655396,4.777322705835104,2.4987521171569824,16.9841365814209,2.709697278618318,4.7534116351592814,0.0,-0.8827041108730539,-0.8925364017486572
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_zero,no_think,degenerate,constant_repetition,,full_output,no_think_full,6,per_sample,256,256,1.1351509809494018,6.118038285057992,1.7957303524017334,294.8657531738281,332.4893641186751,5.550543693037211,0.0,-4.445157672600229,-2.7287273574620485
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_zero,no_think,degenerate,constant_repetition,,full_output,no_think_full,13,per_sample,256,256,1.7326571941375732,8.67790761217475,3.094487428665161,109.73970794677734,48.298596788189435,8.484071106738241,0.0,-3.4983722801184305,-2.6078886166214943
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,constant_repetition,constant_repetition_zero,no_think,degenerate,constant_repetition,,full_output,no_think_full,20,per_sample,256,256,1.5059205293655396,6.568578475154936,3.1940035820007324,28.490346908569336,7.3559518532894455,6.535312119816755,0.0,-1.8007633730434547,-1.375812191516161
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_000135,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,6,cross_model,53,53,1.1351509809494018,15.123562317974162,2.692514181137085,71.20167541503906,131.88044198410157,14.471934456091663,0.0,3.933773990447165,2.2197654758180896
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_000135,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,13,cross_model,53,53,1.7326571941375732,11.637088442748448,4.12229585647583,35.043968200683594,24.406764890721707,11.419497159811167,0.0,0.9853569466612893,0.2896389280046723
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_000135,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,20,cross_model,53,53,1.5059205293655396,13.199563764176279,4.8137688636779785,29.58958625793457,26.546583396522678,13.108570428994987,0.0,1.9724338679443656,1.654621873583114
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,6,cross_model,114,114,1.1351509809494018,11.149586702647962,1.5525654554367065,98.40121459960938,158.90969166315588,10.662507462290538,0.0,6.230785351650677,4.250081691248662
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,13,cross_model,114,114,1.7326571941375732,10.655624701265703,2.643371820449829,59.16636276245117,73.63739603011207,10.573873657040892,0.0,0.45229751741859775,-0.4227619417782478
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,regular_gsm8k_nothink,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,,full_output,no_think_full,20,cross_model,114,114,1.5059205293655396,10.661236043561969,4.830116271972656,33.77646255493164,25.705189899702635,10.554181786765042,0.0,3.835358003402465,2.105048886660871
