model_label,layer,test,comparison,n_pairs,median_diff,mean_diff,wilcoxon_W,p_two_sided,direction
1.7B,6,C1_paired_wilcoxon,thinking - think_answer,90,-3.7250514030456534,-3.7743467383914524,32.0,5.072620849113069e-16,-
1.7B,6,C1_paired_wilcoxon,thinking - no_think_answer,90,-3.2632436752319336,-3.299284103181627,79.0,2.3630755153393216e-15,-
1.7B,6,C1_paired_wilcoxon,think_answer - no_think_answer,90,0.5489597320556641,0.47506263520982545,1400.0,0.009178353522796143,+
1.7B,13,C1_paired_wilcoxon,thinking - think_answer,90,-1.7184090614318857,-1.6836840152740478,57.0,1.1550158805026426e-15,-
1.7B,13,C1_paired_wilcoxon,thinking - no_think_answer,90,-1.2024693489074707,-1.3068909380171034,270.0,8.545602839246434e-13,-
1.7B,13,C1_paired_wilcoxon,think_answer - no_think_answer,90,0.4349970817565927,0.37679307725694444,1231.0,0.0010185869104281466,+
1.7B,20,C1_paired_wilcoxon,thinking - think_answer,90,-2.132339000701905,-2.256338045332167,7.0,2.2056861132994507e-16,-
1.7B,20,C1_paired_wilcoxon,thinking - no_think_answer,90,-2.078828811645508,-2.2045486132303873,63.0,1.4051046609763905e-15,-
1.7B,20,C1_paired_wilcoxon,think_answer - no_think_answer,90,0.11431264877319336,0.05178943210177965,1923.0,0.6164068374944827,+
14B,6,C1_paired_wilcoxon,thinking - think_answer,200,0.17782211303710938,0.03032625198364257,9857.0,0.8138262313552868,+
14B,6,C1_paired_wilcoxon,thinking - no_think_answer,200,0.8874120712280273,0.7219117689132689,7978.0,0.011465143145435201,+
14B,6,C1_paired_wilcoxon,think_answer - no_think_answer,200,0.5187120437622061,0.6915855169296264,6503.0,1.5050796971102538e-05,+
14B,13,C1_paired_wilcoxon,thinking - think_answer,200,-0.08174276351928711,-0.317281928062439,8341.0,0.03704472253756231,-
14B,13,C1_paired_wilcoxon,thinking - no_think_answer,200,0.40132761001587003,0.37242714405059807,7125.0,0.00035834945489869206,+
14B,13,C1_paired_wilcoxon,think_answer - no_think_answer,200,0.5885257720947275,0.6897090721130371,3984.0,1.3460161469851397e-13,+
14B,20,C1_paired_wilcoxon,thinking - think_answer,200,0.3767209053039551,0.2586237382888794,6974.0,0.00017456115235975274,+
14B,20,C1_paired_wilcoxon,thinking - no_think_answer,200,0.16096162796020597,0.028007793426513636,9253.0,0.33081398005135976,+
14B,20,C1_paired_wilcoxon,think_answer - no_think_answer,200,-0.21772527694702148,-0.23061594486236572,6903.0,0.00012309668642722837,-
32B,6,C1_paired_wilcoxon,thinking - think_answer,200,3.2378339767456055,3.1337290620803833,2659.0,1.9106925218774156e-19,+
32B,6,C1_paired_wilcoxon,thinking - no_think_answer,200,4.051383495330811,4.140545024871826,1218.0,4.442696001703893e-27,+
32B,6,C1_paired_wilcoxon,think_answer - no_think_answer,200,0.9591174125671396,1.0068159627914428,4661.0,4.8490883541904584e-11,+
32B,13,C1_paired_wilcoxon,thinking - think_answer,200,0.050130844116211826,-0.16373982429504402,9829.0,0.7874236747475369,+
32B,13,C1_paired_wilcoxon,thinking - no_think_answer,200,0.3957614898681632,0.2402484083175658,8391.0,0.042943167006972996,+
32B,13,C1_paired_wilcoxon,think_answer - no_think_answer,200,0.3585081100463876,0.40398823261260985,6728.0,5.0477428524531816e-05,+
32B,20,C1_paired_wilcoxon,thinking - think_answer,200,0.6659102439880353,0.49202971458435063,6405.0,8.686724526114417e-06,+
32B,20,C1_paired_wilcoxon,thinking - no_think_answer,200,1.1019930839538574,0.9570388460159301,3740.0,1.368416181334098e-14,+
32B,20,C1_paired_wilcoxon,think_answer - no_think_answer,200,0.3593902587890616,0.46500913143157957,5911.0,4.411527995249903e-07,+
4B,6,C1_paired_wilcoxon,thinking - think_answer,200,0.5632729530334482,0.2812632846832276,8422.0,0.04698481526744588,+
4B,6,C1_paired_wilcoxon,thinking - no_think_answer,200,1.3156485557556152,0.9804254651069643,6549.0,1.938876953682324e-05,+
4B,6,C1_paired_wilcoxon,think_answer - no_think_answer,200,0.7131166458129883,0.6991621804237367,6334.0,5.783526067889654e-06,+
4B,13,C1_paired_wilcoxon,thinking - think_answer,200,-1.3878159523010245,-1.3602139496803283,1405.0,5.1685283515625006e-26,-
4B,13,C1_paired_wilcoxon,thinking - no_think_answer,200,-0.666741371154786,-0.8240460562705993,4090.0,3.536419962526864e-13,-
4B,13,C1_paired_wilcoxon,think_answer - no_think_answer,200,0.4821114540100089,0.5361678934097289,4047.0,2.3946656978131623e-13,+
4B,20,C1_paired_wilcoxon,thinking - think_answer,200,0.1647195816040039,2.9667692136764527,8104.0,0.01757506038602717,+
