model,model_label,experiment,layer,valid_pair,model_sort_key,hidden_dim,lid_value_normalization,example_id,prompt_variant,think_answer_lid,no_think_answer_lid,answer_lid_diff,think_correct,no_think_correct,think_answer_tokens,no_think_answer_tokens,raw_think_answer_lid,raw_no_think_answer_lid,raw_answer_lid_diff
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000007,canonical,0.007176401559263468,0.005938186775892973,0.0012382147833704948,False,False,48.0,61.0,14.697270393371582,12.161406517028809,2.5358638763427734
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000007,canonical,0.005212401505559683,0.0058796219527721405,-0.0006672204472124577,False,False,48.0,61.0,10.67499828338623,12.041465759277344,-1.3664674758911133
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000007,canonical,0.004963407292962074,0.005128798075020313,-0.00016539078205823896,False,False,48.0,61.0,10.165058135986328,10.503778457641602,-0.3387203216552734
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000028,canonical,0.007510390132665635,0.006756450515240431,0.0007539396174252033,True,True,41.0,51.0,15.38127899169922,13.837210655212402,1.5440683364868164
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000028,canonical,0.005233884789049625,0.005828609224408865,-0.0005947244353592397,True,True,41.0,51.0,10.718996047973633,11.936991691589355,-1.2179956436157229
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000028,canonical,0.005240579135715961,0.005569409113377332,-0.00032882997766137123,True,True,41.0,51.0,10.732706069946287,11.406149864196776,-0.6734437942504883
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000031,canonical,0.006263557821512222,0.006843064911663532,-0.00057950709015131,True,False,49.0,66.0,12.827766418457031,14.014596939086914,-1.1868305206298828
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000031,canonical,0.005087229888886213,0.005444022361189127,-0.00035679247230291367,True,False,49.0,66.0,10.418646812438965,11.149357795715332,-0.7307109832763672
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000031,canonical,0.005817146506160498,0.0055667138658463955,0.00025043264031410217,True,False,49.0,66.0,11.9135160446167,11.400629997253418,0.5128860473632812
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000042,canonical,0.00817078072577715,0.0067468974739313126,0.0014238832518458366,True,True,46.0,44.0,16.7337589263916,13.817646026611328,2.9161128997802734
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000042,canonical,0.005793411284685135,0.005167399067431688,0.0006260122172534466,True,True,46.0,44.0,11.864906311035156,10.582833290100098,1.2820730209350586
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000042,canonical,0.005929996259510518,0.005852383561432362,7.761269807815552e-05,True,True,46.0,44.0,12.14463233947754,11.985681533813477,0.1589508056640625
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000044,canonical,0.006777272559702396,0.006317769177258015,0.0004595033824443817,False,False,51.0,50.0,13.879854202270508,12.938791275024414,0.9410629272460938
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000044,canonical,0.006194096989929676,0.005350032821297646,0.0008440641686320305,False,False,51.0,50.0,12.685510635375977,10.956867218017578,1.7286434173583984
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000044,canonical,0.00578170083463192,0.005265776999294758,0.000515923835337162,False,False,51.0,50.0,11.840923309326172,10.784311294555664,1.0566120147705078
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000054,canonical,0.006846946198493242,0.007415700703859329,-0.000568754505366087,False,False,52.0,42.0,14.02254581451416,15.187355041503906,-1.164809226989746
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000054,canonical,0.005760558880865574,0.005412355996668339,0.0003482028841972351,False,False,52.0,42.0,11.797624588012695,11.084505081176758,0.7131195068359375
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000054,canonical,0.006684326101094484,0.006079191341996193,0.0006051347590982914,False,False,52.0,42.0,13.689499855041504,12.450183868408203,1.2393159866333008
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000088,canonical,0.008056106977164745,0.006612609140574931,0.0014434978365898132,True,True,58.0,57.0,16.4989070892334,13.54262351989746,2.9562835693359375
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000088,canonical,0.005897032096982002,0.005172053817659617,0.0007249782793223858,True,True,58.0,57.0,12.07712173461914,10.592366218566896,1.484755516052246
Qwen_Qwen3-1.7B,1.7B,exp_c,20,True,1.7,2048,hidden_dim,gsm8k_test_000088,canonical,0.005632668733596802,0.0054422542452812195,0.00019041448831558228,True,True,58.0,57.0,11.53570556640625,11.145736694335938,0.3899688720703125
Qwen_Qwen3-1.7B,1.7B,exp_c,6,True,1.7,2048,hidden_dim,gsm8k_test_000099,canonical,0.008587397634983063,0.0071772923693060875,0.0014101052656769753,True,False,47.0,55.0,17.586990356445312,14.699094772338867,2.8878955841064453
Qwen_Qwen3-1.7B,1.7B,exp_c,13,True,1.7,2048,hidden_dim,gsm8k_test_000099,canonical,0.005962736904621124,0.005589544773101807,0.0003731921315193176,True,False,47.0,55.0,12.211685180664062,11.4473876953125,0.7642974853515625
