model,model_label,model_sort_key,family,layer,n,mean,median,ci_low,ci_high
Qwen_Qwen3-1.7B,1.7B,1.7,constant_repetition,6,5,0.001973910187371075,0.001959848217666149,0.0018556002993136643,0.002114511909894645
Qwen_Qwen3-1.7B,1.7B,1.7,regular_gsm8k_nothink,6,30,0.0070110196402917305,0.006881358800455928,0.006683413732098416,0.0073959688267981015
Qwen_Qwen3-1.7B,1.7B,1.7,short_cycle_repetition,6,5,0.003117925487458706,0.002979574492201209,0.0023852797225117684,0.003902855096384883
Qwen_Qwen3-1.7B,1.7B,1.7,templatic_repetition,6,5,0.001670685550197959,0.001506518921814859,0.0014275171095505356,0.0021133045200258495
Qwen_Qwen3-1.7B,1.7B,1.7,constant_repetition,13,5,0.0023575746454298496,0.002360731828957796,0.002203423995524645,0.0025389942340552805
Qwen_Qwen3-1.7B,1.7B,1.7,regular_gsm8k_nothink,13,30,0.005340856593102216,0.005287915235385299,0.005205589889471109,0.005482754548623537
Qwen_Qwen3-1.7B,1.7B,1.7,short_cycle_repetition,13,5,0.002962620975449681,0.0027581530157476664,0.0025880779605358837,0.003413203218951821
Qwen_Qwen3-1.7B,1.7B,1.7,templatic_repetition,13,5,0.001976785226725042,0.0018632771680131555,0.0018537288764491678,0.0021291408920660615
Qwen_Qwen3-1.7B,1.7B,1.7,constant_repetition,20,5,0.0024289193097501993,0.0024648657999932766,0.002276915917173028,0.0025791625364217905
Qwen_Qwen3-1.7B,1.7B,1.7,regular_gsm8k_nothink,20,30,0.005822977190837264,0.005780564155429602,0.0056347437416358545,0.006000340557269132
Qwen_Qwen3-1.7B,1.7B,1.7,short_cycle_repetition,20,5,0.0015435656066983938,0.001640888163819909,0.0013398821000009775,0.0016724098956910887
Qwen_Qwen3-1.7B,1.7B,1.7,templatic_repetition,20,5,0.0014123721281066536,0.0013760955771431327,0.0013515551341697573,0.0014877243200317025
Qwen_Qwen3-4B,4B,4.0,constant_repetition,6,5,0.0028094016388058663,0.001918165758252144,0.0017285839840769767,0.004745005369186402
Qwen_Qwen3-4B,4B,4.0,regular_gsm8k_nothink,6,30,0.0052552968015273415,0.0050893137231469154,0.004910725429654122,0.005638065585556129
Qwen_Qwen3-4B,4B,4.0,short_cycle_repetition,6,5,0.0026956789195537565,0.0022594328969717027,0.0020951851457357406,0.003468271568417549
Qwen_Qwen3-4B,4B,4.0,templatic_repetition,6,5,0.0009424404613673687,0.0009118999354541302,0.0008778438530862331,0.001007037069648504
Qwen_Qwen3-4B,4B,4.0,constant_repetition,13,5,0.003007011562585831,0.002965748682618141,0.0027430529147386556,0.0032910569012165073
Qwen_Qwen3-4B,4B,4.0,regular_gsm8k_nothink,13,30,0.004568306431174277,0.004615112207829952,0.0044674491817131646,0.004666826156278451
Qwen_Qwen3-4B,4B,4.0,short_cycle_repetition,13,5,0.0026687740534543985,0.002669370174407959,0.00231670469045639,0.0030378563702106475
Qwen_Qwen3-4B,4B,4.0,templatic_repetition,13,5,0.0012572157569229602,0.0012321501970291137,0.0012011146917939187,0.0013369048200547694
Qwen_Qwen3-4B,4B,4.0,constant_repetition,20,5,0.002783143259584904,0.0028574651107192038,0.0024978531524538993,0.0030768094956874848
Qwen_Qwen3-4B,4B,4.0,regular_gsm8k_nothink,20,30,0.00447614682217439,0.004440214298665523,0.004389584176242352,0.004558709679792325
Qwen_Qwen3-4B,4B,4.0,short_cycle_repetition,20,5,0.00246825460344553,0.0026335548609495163,0.0018191279098391533,0.003135537350550294
Qwen_Qwen3-4B,4B,4.0,templatic_repetition,20,5,0.007864348068833352,0.008129952847957611,0.004602555856108666,0.010993104577064514
Qwen_Qwen3-8B,8B,8.0,constant_repetition,6,5,0.0010191934183239938,0.001007748767733574,0.0009349558502435684,0.0011085573583841323
Qwen_Qwen3-8B,8B,8.0,regular_gsm8k_nothink,6,30,0.0037084458163008094,0.003436706843785942,0.0034771613693252825,0.003955294946596646
Qwen_Qwen3-8B,8B,8.0,short_cycle_repetition,6,5,0.0011624530190601945,0.0011246614158153534,0.0011161265429109335,0.001212701597250998
Qwen_Qwen3-8B,8B,8.0,templatic_repetition,6,5,0.0007790824747644365,0.0007458308828063308,0.0006711535039357841,0.0009194934507831931
Qwen_Qwen3-8B,8B,8.0,constant_repetition,13,5,0.0017032318050041796,0.001636590575799346,0.0015613869298249483,0.001859355135820806
Qwen_Qwen3-8B,8B,8.0,regular_gsm8k_nothink,13,30,0.0030015250590319435,0.0029501670505851507,0.002916793720214628,0.003091649372751514
Qwen_Qwen3-8B,8B,8.0,short_cycle_repetition,13,5,0.0013478282140567898,0.0013106993865221739,0.001250495808199048,0.0014901191229000688
Qwen_Qwen3-8B,8B,8.0,templatic_repetition,13,5,0.000715216074604541,0.0006909834919497371,0.000679650017991662,0.0007707422017119824
Qwen_Qwen3-8B,8B,8.0,constant_repetition,20,5,0.0018596477573737502,0.0018492400413379073,0.001776707827812061,0.0019474676344543695
Qwen_Qwen3-8B,8B,8.0,regular_gsm8k_nothink,20,30,0.0029352751560509207,0.002950407564640045,0.0028716365335276347,0.0029905848183746763
Qwen_Qwen3-8B,8B,8.0,short_cycle_repetition,20,5,0.0015432995278388262,0.0013874610885977745,0.0013369223568588495,0.0018617810914292932
Qwen_Qwen3-8B,8B,8.0,templatic_repetition,20,5,0.0015191271202638745,0.0014935748185962439,0.0014710902236402036,0.0015671640168875456
Qwen_Qwen3-14B,14B,14.0,constant_repetition,6,5,0.0007064427994191646,0.0006776060443371534,0.0006623008195310832,0.0007576437201350927
Qwen_Qwen3-14B,14B,14.0,regular_gsm8k_nothink,6,30,0.003166906777769327,0.003138212114572525,0.0030529505562347666,0.0032844058619812136
Qwen_Qwen3-14B,14B,14.0,short_cycle_repetition,6,5,0.0005046701896935701,0.0005277031101286412,0.00040110796689987185,0.0005927292630076408
Qwen_Qwen3-14B,14B,14.0,templatic_repetition,6,5,0.000699535645544529,0.0006798036862164736,0.0005972293298691511,0.0008176077064126729
Qwen_Qwen3-14B,14B,14.0,constant_repetition,13,5,0.0011242905817925928,0.001147062797099352,0.0009357534721493721,0.0013082630187273025
Qwen_Qwen3-14B,14B,14.0,regular_gsm8k_nothink,13,30,0.0023675485514104365,0.002363751642405987,0.0023143005225186547,0.002422855987213552
Qwen_Qwen3-14B,14B,14.0,short_cycle_repetition,13,5,0.0008215336222201586,0.0008474722504615784,0.0007370400186628102,0.0008875254541635513
Qwen_Qwen3-14B,14B,14.0,templatic_repetition,13,5,0.00044261802919208997,0.00043173581361770623,0.0004247367568314075,0.00046604972332715984
Qwen_Qwen3-14B,14B,14.0,constant_repetition,20,5,0.0016485297679901124,0.0017589380964636802,0.0014455341175198554,0.0017754353582859039
Qwen_Qwen3-14B,14B,14.0,regular_gsm8k_nothink,20,30,0.0024626898827652135,0.0024360312148928643,0.0024033987750299276,0.0025281557440757748
Qwen_Qwen3-14B,14B,14.0,short_cycle_repetition,20,5,0.0011190903745591642,0.0011156967841088772,0.0009816940315067768,0.0012564867176115514
Qwen_Qwen3-14B,14B,14.0,templatic_repetition,20,5,0.0010102072171866894,0.0010150833986699581,0.000993265639990568,0.0010271487943828105
Qwen_Qwen3-32B,32B,32.0,constant_repetition,6,5,0.00120422899723053,0.0014172104187309743,0.000861670318990946,0.0015407198853790761
Qwen_Qwen3-32B,32B,32.0,regular_gsm8k_nothink,6,30,0.0028184187846879163,0.0027785663492977614,0.002679357415065169,0.002957820163108408
Qwen_Qwen3-32B,32B,32.0,short_cycle_repetition,6,5,0.0011068469658493997,0.0009762546047568321,0.0009152925759553909,0.0013219280727207658
Qwen_Qwen3-32B,32B,32.0,templatic_repetition,6,5,0.00026910493616014717,0.0002690688474103808,0.00026719077490270135,0.00027115349192172286
Qwen_Qwen3-32B,32B,32.0,constant_repetition,13,5,0.0016483885422348978,0.0020799485966563227,0.001066589318215847,0.0022078012377023683
Qwen_Qwen3-32B,32B,32.0,regular_gsm8k_nothink,13,30,0.0026758714516957596,0.0026027263142168527,0.002594231511621425,0.0027563507547602056
Qwen_Qwen3-32B,32B,32.0,short_cycle_repetition,13,5,0.0014685261249542236,0.0013199043460190296,0.0012229125760495664,0.0017461864091455933
