model,model_label,model_sort_key,prompt_variant,layer,n,mean,median,ci_low,ci_high
Qwen_Qwen3-1.7B,1.7B,1.7,canonical,6,100,0.006755171804688871,0.006834188010543585,0.006586470145382918,0.006930969656212255
Qwen_Qwen3-1.7B,1.7B,1.7,irrelevant_context,6,100,0.006789752715267241,0.006812809500843287,0.006635908588650637,0.006951816349639557
Qwen_Qwen3-1.7B,1.7B,1.7,repetitive_filler,6,100,0.006962322522886097,0.006940259598195553,0.006787595143541694,0.007144928369787521
Qwen_Qwen3-1.7B,1.7B,1.7,canonical,13,100,0.00535965065471828,0.005353350657969713,0.005270215162890963,0.005451964665087871
Qwen_Qwen3-1.7B,1.7B,1.7,irrelevant_context,13,100,0.005328143639490008,0.005330660846084356,0.005242728262674063,0.005418203619192354
Qwen_Qwen3-1.7B,1.7B,1.7,repetitive_filler,13,100,0.005353550952859223,0.005371687235310674,0.005280521418317222,0.005431829097098671
Qwen_Qwen3-1.7B,1.7B,1.7,canonical,20,100,0.005635421988554299,0.005589416716247797,0.00553113096987363,0.005748630950693041
Qwen_Qwen3-1.7B,1.7B,1.7,irrelevant_context,20,100,0.005709240171127021,0.005745227448642254,0.005605860033887439,0.005814439423964359
Qwen_Qwen3-1.7B,1.7B,1.7,repetitive_filler,20,100,0.0056636776588857175,0.005621708231046796,0.005561705732368864,0.005779488869593479
Qwen_Qwen3-4B,4B,4.0,canonical,6,100,0.00505605386197567,0.004841735400259495,0.00488131182482466,0.005246616565436124
Qwen_Qwen3-4B,4B,4.0,irrelevant_context,6,100,0.005212316174060106,0.004981895908713341,0.005022841168195009,0.00540937893539667
Qwen_Qwen3-4B,4B,4.0,repetitive_filler,6,100,0.005054005905985832,0.004953991807997227,0.004896435014065355,0.005227885104995221
Qwen_Qwen3-4B,4B,4.0,canonical,13,100,0.00444991822168231,0.0043836371973156926,0.004379665820393711,0.004523521001636982
Qwen_Qwen3-4B,4B,4.0,irrelevant_context,13,100,0.004527110394090414,0.00449998416006565,0.004454576906189322,0.004602110718563199
Qwen_Qwen3-4B,4B,4.0,repetitive_filler,13,100,0.004494855053722858,0.004477585107088089,0.00442867007823661,0.00456527254525572
Qwen_Qwen3-4B,4B,4.0,canonical,20,100,0.004486916329711676,0.004484439082443714,0.0044270594202913335,0.004546332232281566
Qwen_Qwen3-4B,4B,4.0,irrelevant_context,20,100,0.004509765096008778,0.004513663239777088,0.004447011474706232,0.004570546656101942
Qwen_Qwen3-4B,4B,4.0,repetitive_filler,20,100,0.004523065641522408,0.004529094137251377,0.004462825736030936,0.004582811563648283
Qwen_Qwen3-8B,8B,8.0,canonical,6,100,0.003498329760041088,0.0034424724290147424,0.0033966998477699237,0.003597140638739802
Qwen_Qwen3-8B,8B,8.0,irrelevant_context,6,100,0.0036224301951006056,0.00351375516038388,0.0035098964950884695,0.0037429653740255163
Qwen_Qwen3-8B,8B,8.0,repetitive_filler,6,100,0.003442409345880151,0.0034166346304118633,0.0033446712897857653,0.003530919405107852
