model,model_label,model_sort_key,hidden_dim,mode,n,accuracy,ci_low,ci_high,sample_scope
Qwen_Qwen3-1.7B,1.7B,1.7,2048,no_think,90,0.16666666666666666,0.08888888888888889,0.24444444444444444,kept_for_each_model_independently
Qwen_Qwen3-1.7B,1.7B,1.7,2048,think,90,0.7444444444444445,0.6555555555555556,0.8333333333333334,kept_for_each_model_independently
Qwen_Qwen3-4B,4B,4.0,2560,no_think,200,0.47,0.395,0.5351249999999993,kept_for_each_model_independently
Qwen_Qwen3-4B,4B,4.0,2560,think,200,0.91,0.87,0.95,kept_for_each_model_independently
Qwen_Qwen3-8B,8B,8.0,4096,no_think,62,0.4838709677419355,0.3548387096774194,0.5967741935483871,kept_for_each_model_independently
Qwen_Qwen3-8B,8B,8.0,4096,think,62,0.8870967741935484,0.8064516129032258,0.967741935483871,kept_for_each_model_independently
Qwen_Qwen3-14B,14B,14.0,5120,no_think,200,0.625,0.56,0.69,kept_for_each_model_independently
Qwen_Qwen3-14B,14B,14.0,5120,think,200,0.945,0.91,0.975,kept_for_each_model_independently
Qwen_Qwen3-32B,32B,32.0,5120,no_think,200,0.65,0.585,0.72,kept_for_each_model_independently
Qwen_Qwen3-32B,32B,32.0,5120,think,200,0.97,0.945,0.99,kept_for_each_model_independently
