model,model_label,model_sort_key,phase,layer,n,mean,median,ci_low,ci_high
Qwen_Qwen3-1.7B,1.7B,1.7,no_think_answer,6,90,0.006664127375309666,0.0066169570200145245,0.0065178983883621795,0.006814575739230754
Qwen_Qwen3-1.7B,1.7B,1.7,think_answer,6,90,0.0068960915526582135,0.006906373891979456,0.006696798951856585,0.007099731378904027
Qwen_Qwen3-1.7B,1.7B,1.7,thinking,6,90,0.005053148809303012,0.004969257162883878,0.0048798730781871,0.005225745545790737
Qwen_Qwen3-1.7B,1.7B,1.7,no_think_answer,13,90,0.005335436647550928,0.0054010190069675446,0.005259747689512248,0.0054102176969819185
Qwen_Qwen3-1.7B,1.7B,1.7,think_answer,13,90,0.0055194176423052944,0.0055238911882042885,0.005433801440651425,0.005600935551596599
Qwen_Qwen3-1.7B,1.7B,1.7,thinking,13,90,0.004697306306722263,0.004711064510047436,0.004603328854104297,0.004792812285336873
Qwen_Qwen3-1.7B,1.7B,1.7,no_think_answer,20,90,0.005631536638571156,0.005651593208312988,0.005540274321230956,0.005727857978911035
Qwen_Qwen3-1.7B,1.7B,1.7,think_answer,20,90,0.005656824447214603,0.005570874083787203,0.0055601177197725825,0.005761202498494337
Qwen_Qwen3-1.7B,1.7B,1.7,thinking,20,90,0.004555096886017256,0.00461144489236176,0.0044355661912252094,0.0046768982172296905
Qwen_Qwen3-4B,4B,4.0,no_think_answer,6,200,0.005008697177283467,0.004867797903716564,0.004905960564594716,0.005111211666604505
Qwen_Qwen3-4B,4B,4.0,think_answer,6,200,0.005281807404011488,0.005187055841088296,0.0051827987033873785,0.005390262838825583
Qwen_Qwen3-4B,4B,4.0,thinking,6,200,0.005391675874590873,0.005345819145441055,0.00526240676450543,0.005523941581649705
Qwen_Qwen3-4B,4B,4.0,no_think_answer,13,200,0.004502495359629393,0.004485073871910572,0.004446238934947178,0.0045626441025175156
Qwen_Qwen3-4B,4B,4.0,think_answer,13,200,0.004711935942992568,0.004715534672141076,0.0046594169050920755,0.00476693882867694
Qwen_Qwen3-4B,4B,4.0,thinking,13,200,0.00418060236889869,0.004185278713703156,0.004119293448654935,0.00424347640357446
Qwen_Qwen3-4B,4B,4.0,no_think_answer,20,200,0.004493289014324545,0.0044723359867930405,0.0044518766005523505,0.004536445647384972
Qwen_Qwen3-4B,4B,4.0,think_answer,20,200,0.004484762564301491,0.0044189393520355225,0.004402144063729793,0.00462813579570502
Qwen_Qwen3-4B,4B,4.0,thinking,20,200,0.005643656788393855,0.004453932307660579,0.005279406252503395,0.0060327458393294375
Qwen_Qwen3-8B,8B,8.0,no_think_answer,6,62,0.0034862503657237657,0.00339023198466748,0.00335070465723308,0.003624023478421863
Qwen_Qwen3-8B,8B,8.0,think_answer,6,62,0.0033925219078458123,0.0033138871658593416,0.0033052267581825294,0.003487060948241232
Qwen_Qwen3-8B,8B,8.0,thinking,6,62,0.003729801181884062,0.003730765776708722,0.0035418674820140304,0.003924531194159851
Qwen_Qwen3-8B,8B,8.0,no_think_answer,13,62,0.0029359044537188546,0.002921109553426504,0.002869456834178568,0.00300391404269894
Qwen_Qwen3-8B,8B,8.0,think_answer,13,62,0.0029522258367749954,0.002919580088928342,0.002897615854876236,0.003010977272624
Qwen_Qwen3-8B,8B,8.0,thinking,13,62,0.0027853380081303896,0.0028175245970487595,0.00269631609858592,0.002871951665081489
Qwen_Qwen3-8B,8B,8.0,no_think_answer,20,62,0.002935891771959441,0.0029449190478771925,0.002897147088022452,0.0029745935675530365
Qwen_Qwen3-8B,8B,8.0,think_answer,20,62,0.002790847267474859,0.0027889555785804987,0.0027450915122772717,0.0028367222946760577
Qwen_Qwen3-8B,8B,8.0,thinking,20,62,0.004480688870253582,0.003252912778407335,0.0039644233812953554,0.005016174162700472
Qwen_Qwen3-14B,14B,14.0,no_think_answer,6,200,0.0031869327547028657,0.0031340787187218665,0.003126956401113421,0.0032486191048985346
Qwen_Qwen3-14B,14B,14.0,think_answer,6,200,0.0033220080509781835,0.0033036405220627785,0.003259603024553508,0.0033828524672891943
Qwen_Qwen3-14B,14B,14.0,thinking,6,200,0.003327931147068739,0.003296648897230625,0.0032469772762153304,0.0034180883235298094
Qwen_Qwen3-14B,14B,14.0,no_think_answer,13,200,0.002354805680923164,0.0023550471290946008,0.002326683535357006,0.002384108927450143
Qwen_Qwen3-14B,14B,14.0,think_answer,13,200,0.0024895144840702418,0.002491399459540844,0.0024577996604144576,0.0025212514133658255
Qwen_Qwen3-14B,14B,14.0,thinking,13,200,0.0024275453574955463,0.00245101023465395,0.0023889985179994257,0.0024665155329974373
Qwen_Qwen3-14B,14B,14.0,no_think_answer,20,200,0.002446070962585509,0.002437373623251915,0.0024219747725874184,0.0024712693819776174
Qwen_Qwen3-14B,14B,14.0,think_answer,20,200,0.002401028785854578,0.0024042769335210325,0.002379796886374243,0.0024215656999731438
Qwen_Qwen3-14B,14B,14.0,thinking,20,200,0.002451541234739125,0.002480517793446779,0.0024213689201977107,0.0024813666285946967
Qwen_Qwen3-32B,32B,32.0,no_think_answer,6,200,0.00293789913225919,0.002920498512685299,0.002880623426707461,0.0029954844237305225
Qwen_Qwen3-32B,32B,32.0,think_answer,6,200,0.0031345428749918938,0.0031493548303842545,0.00306986697469838,0.003200029209651984
Qwen_Qwen3-32B,32B,32.0,thinking,6,200,0.0037465993324294687,0.003746548667550087,0.00365624546285253,0.0038436993897892537
Qwen_Qwen3-32B,32B,32.0,no_think_answer,13,200,0.002682643249630928,0.0026734870858490466,0.0026451783215161407,0.0027185903638368473
Qwen_Qwen3-32B,32B,32.0,think_answer,13,200,0.0027615472013130782,0.0027749693021178246,0.002719455962697975,0.002801424138550646
Qwen_Qwen3-32B,32B,32.0,thinking,13,200,0.0027295667668804525,0.0027307221665978433,0.002686065905843861,0.002772474924707785
Qwen_Qwen3-32B,32B,32.0,no_think_answer,20,200,0.002553711660206318,0.002542874496430159,0.0025232477327575913,0.002583631572430022
Qwen_Qwen3-32B,32B,32.0,think_answer,20,200,0.0026445337561890486,0.0026416528038680554,0.002609099137620069,0.0026815318888751788
Qwen_Qwen3-32B,32B,32.0,thinking,20,200,0.002740633309818804,0.002769080363214016,0.0027032817045692355,0.0027735996402334425
