model,model_label,model_sort_key,layer,delta_name,n,mean,median,ci_low,ci_high,fraction_below_zero
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer_minus_no_think_answer,90,0.00023196417734854758,0.0002680467441678047,-1.69931696210469e-05,0.00046987738977703747,0.4
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking_minus_no_think_answer,90,-0.0016109785660066538,-0.0015933807007968426,-0.001827678652997646,-0.0013811271378330679,0.9333333333333333
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking_minus_think_answer,90,-0.0018429427433552014,-0.0018188727553933855,-0.002065002407309496,-0.0016268476535980076,0.9555555555555556
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer_minus_no_think_answer,90,0.0001839809947543674,0.00021240091882646127,8.15292508600072e-05,0.00027994790049787175,0.3333333333333333
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking_minus_no_think_answer,90,-0.0006381303408286638,-0.0005871432367712259,-0.000761397837777622,-0.0005131525274676583,0.8444444444444444
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking_minus_think_answer,90,-0.0008221113355830311,-0.0008390669245272879,-0.0009259000780811119,-0.0007191015171378644,0.9555555555555556
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer_minus_no_think_answer,90,2.5287808643447095e-05,5.581672303378582e-05,-9.721101753206708e-05,0.00014227235004202353,0.4777777777777778
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking_minus_no_think_answer,90,-0.0010764397525539,-0.0010150531306862831,-0.0012308824796410692,-0.0009225646471734055,0.9444444444444444
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking_minus_think_answer,90,-0.001101727561197347,-0.0010411811526864771,-0.0012340566133692238,-0.000969775909325108,0.9666666666666667
Qwen_Qwen3-4B,4B,4.0,6,think_answer_minus_no_think_answer,200,0.0002731102267280221,0.0002785611897706984,0.0001569604801479726,0.0003937485162634402,0.365
Qwen_Qwen3-4B,4B,4.0,6,thinking_minus_no_think_answer,200,0.0003829786973074079,0.0005139252170920372,0.00022704509415198126,0.0005427098338725046,0.355
Qwen_Qwen3-4B,4B,4.0,6,thinking_minus_think_answer,200,0.00010986847057938581,0.0002200284972786906,-5.644522234797472e-05,0.0002678841568995268,0.435
Qwen_Qwen3-4B,4B,4.0,13,think_answer_minus_no_think_answer,200,0.00020944058336317537,0.0001883247867226598,0.00015836721831001332,0.0002616642648819833,0.26
Qwen_Qwen3-4B,4B,4.0,13,thinking_minus_no_think_answer,200,-0.0003218929907307029,-0.00026044584810733804,-0.00040144156480673696,-0.0002488574405899272,0.725
Qwen_Qwen3-4B,4B,4.0,13,thinking_minus_think_answer,200,-0.0005313335740938783,-0.0005421156063675878,-0.0006028007549932227,-0.0004605560847790911,0.84
Qwen_Qwen3-4B,4B,4.0,20,think_answer_minus_no_think_answer,200,-8.526450023055116e-06,-6.350707262754371e-05,-9.823483373038479e-05,0.00013628057274036107,0.59
Qwen_Qwen3-4B,4B,4.0,20,thinking_minus_no_think_answer,200,0.001150367774069309,-1.8251873552799485e-05,0.0007792320102453233,0.0015598226171918213,0.515
Qwen_Qwen3-4B,4B,4.0,20,thinking_minus_think_answer,200,0.0011588942240923642,6.434358656406394e-05,0.0007594207042828201,0.0015798729516100134,0.455
Qwen_Qwen3-8B,8B,8.0,6,think_answer_minus_no_think_answer,62,-9.372845787795327e-05,-0.00010974751785397551,-0.00023864639421639533,4.9818904071505453e-05,0.5645161290322581
Qwen_Qwen3-8B,8B,8.0,6,thinking_minus_no_think_answer,62,0.00024355081616029623,0.00024452153593301773,2.005188200142117e-05,0.00047574219577420016,0.3870967741935484
Qwen_Qwen3-8B,8B,8.0,6,thinking_minus_think_answer,62,0.00033727927403824946,0.00027206132654100635,0.0001291518299577519,0.0005490613717307909,0.3387096774193548
Qwen_Qwen3-8B,8B,8.0,13,think_answer_minus_no_think_answer,62,1.6321383056140716e-05,6.408779881894588e-05,-5.194760414005642e-05,8.798353552382677e-05,0.41935483870967744
Qwen_Qwen3-8B,8B,8.0,13,thinking_minus_no_think_answer,62,-0.0001505664455884647,-0.00012196367606520631,-0.00026364512164183263,-4.524446018378173e-05,0.6129032258064516
Qwen_Qwen3-8B,8B,8.0,13,thinking_minus_think_answer,62,-0.0001668878286446054,-0.00012076413258910179,-0.0002545351616478705,-8.619524868986303e-05,0.6935483870967742
Qwen_Qwen3-8B,8B,8.0,20,think_answer_minus_no_think_answer,62,-0.00014504450448458238,-0.00013824529014527776,-0.00018881719771607396,-0.00010075788332840377,0.8225806451612904
Qwen_Qwen3-8B,8B,8.0,20,thinking_minus_no_think_answer,62,0.001544797098294141,0.00024720106739550807,0.0010262728296032537,0.0020917583933858677,0.43548387096774194
Qwen_Qwen3-8B,8B,8.0,20,thinking_minus_think_answer,62,0.001689841602778723,0.0005845796549692748,0.0011757679462936076,0.002229458677785231,0.2903225806451613
Qwen_Qwen3-14B,14B,14.0,6,think_answer_minus_no_think_answer,200,0.00013507529627531766,0.00010131094604730589,7.913260664790868e-05,0.00019387869138736278,0.4
Qwen_Qwen3-14B,14B,14.0,6,thinking_minus_no_think_answer,200,0.00014099839236587285,0.00017332267016172413,3.958307271823292e-05,0.0002461744664469733,0.43
Qwen_Qwen3-14B,14B,14.0,6,thinking_minus_think_answer,200,5.923096090555194e-06,3.473088145256021e-05,-9.661895779427144e-05,0.00010725939122494312,0.49
Qwen_Qwen3-14B,14B,14.0,13,think_answer_minus_no_think_answer,200,0.00013470880314707753,0.00011494643986225133,0.00010178278267849238,0.0001655311696231365,0.27
Qwen_Qwen3-14B,14B,14.0,13,thinking_minus_no_think_answer,200,7.273967657238244e-05,7.838429883122444e-05,2.594304345548153e-05,0.00011604717841837549,0.38
Qwen_Qwen3-14B,14B,14.0,13,thinking_minus_think_answer,200,-6.196912657469512e-05,-1.596538349986072e-05,-0.00011077755708247424,-1.4959865342825677e-05,0.51
Qwen_Qwen3-14B,14B,14.0,20,think_answer_minus_no_think_answer,200,-4.504217673093083e-05,-4.252446815371518e-05,-6.706401819828899e-05,-2.25609357468784e-05,0.605
Qwen_Qwen3-14B,14B,14.0,20,thinking_minus_no_think_answer,200,5.470272153615927e-06,3.143781796097764e-05,-2.7978347078897075e-05,3.790195852052413e-05,0.47
Qwen_Qwen3-14B,14B,14.0,20,thinking_minus_think_answer,200,5.0512448884546755e-05,7.35783018171786e-05,1.6674125776626168e-05,8.36696776328608e-05,0.345
Qwen_Qwen3-32B,32B,32.0,6,think_answer_minus_no_think_answer,200,0.00019664374273270366,0.00018732761964201927,0.00014202573266811668,0.0002490769629599525,0.3
Qwen_Qwen3-32B,32B,32.0,6,thinking_minus_no_think_answer,200,0.0008087002001702786,0.0007912858389317989,0.0007103648834861815,0.0009125591391930355,0.145
Qwen_Qwen3-32B,32B,32.0,6,thinking_minus_think_answer,200,0.0006120564574375749,0.0006323894485831261,0.0005140611786860973,0.0007189320163335651,0.19
Qwen_Qwen3-32B,32B,32.0,13,think_answer_minus_no_think_answer,200,7.890395168215038e-05,7.002111524343521e-05,4.117530279327187e-05,0.00011375487914774565,0.38
Qwen_Qwen3-32B,32B,32.0,13,thinking_minus_no_think_answer,200,4.692351724952459e-05,7.729716598987553e-05,-6.5317135304212196e-06,0.00010133352761622511,0.42
Qwen_Qwen3-32B,32B,32.0,13,thinking_minus_think_answer,200,-3.1980434432625794e-05,9.791180491447622e-06,-8.958503659814599e-05,2.4578769062645718e-05,0.475
Qwen_Qwen3-32B,32B,32.0,20,think_answer_minus_no_think_answer,200,9.082209598273038e-05,7.019340991973864e-05,5.8974960166960996e-05,0.0001220298025291413,0.34
Qwen_Qwen3-32B,32B,32.0,20,thinking_minus_no_think_answer,200,0.00018692164961248636,0.00021523302420973752,0.00013921841266565025,0.00023120686698239296,0.24
Qwen_Qwen3-32B,32B,32.0,20,thinking_minus_think_answer,200,9.609955362975597e-05,0.00013006059452891306,4.414281561039394e-05,0.00014479112352710214,0.36
