model,model_label,model_sort_key,example_id,layer,delta_name,delta,think_correct,no_think_correct
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,6,think_answer_minus_no_think_answer,0.0012382147833704948,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,6,thinking_minus_think_answer,-0.0032955596689134836,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,6,thinking_minus_no_think_answer,-0.0020573448855429888,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,13,think_answer_minus_no_think_answer,-0.0006672204472124577,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,13,thinking_minus_think_answer,-0.0012240009382367134,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,13,thinking_minus_no_think_answer,-0.001891221385449171,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,20,think_answer_minus_no_think_answer,-0.00016539078205823898,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,20,thinking_minus_think_answer,-0.000995167065411806,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000007,20,thinking_minus_no_think_answer,-0.001160557847470045,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,6,think_answer_minus_no_think_answer,0.0007539396174252042,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,6,thinking_minus_think_answer,-0.002422581426799298,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,6,thinking_minus_no_think_answer,-0.001668641809374094,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,13,think_answer_minus_no_think_answer,-0.0005947244353592396,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,13,thinking_minus_think_answer,-0.0006773346103727818,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,13,thinking_minus_no_think_answer,-0.0012720590457320213,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,20,think_answer_minus_no_think_answer,-0.00032882997766137123,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,20,thinking_minus_think_answer,-0.0010903514921665183,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000028,20,thinking_minus_no_think_answer,-0.0014191814698278895,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,6,think_answer_minus_no_think_answer,-0.00057950709015131,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,6,thinking_minus_think_answer,-0.0015956368297338486,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,6,thinking_minus_no_think_answer,-0.0021751439198851585,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,13,think_answer_minus_no_think_answer,-0.00035679247230291367,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,13,thinking_minus_think_answer,-0.0006860033608973035,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,13,thinking_minus_no_think_answer,-0.0010427958332002172,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,20,think_answer_minus_no_think_answer,0.00025043264031410217,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,20,thinking_minus_think_answer,-0.002017413266003132,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000031,20,thinking_minus_no_think_answer,-0.0017669806256890297,True,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,6,think_answer_minus_no_think_answer,0.0014238832518458366,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,6,thinking_minus_think_answer,-0.00204784655943513,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,6,thinking_minus_no_think_answer,-0.0006239633075892934,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,13,think_answer_minus_no_think_answer,0.0006260122172534466,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,13,thinking_minus_think_answer,-0.00043258443474769506,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,13,thinking_minus_no_think_answer,0.00019342778250575152,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,20,think_answer_minus_no_think_answer,7.761269807815638e-05,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,20,thinking_minus_think_answer,-0.0005536577664315709,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000042,20,thinking_minus_no_think_answer,-0.00047604506835341454,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000044,6,think_answer_minus_no_think_answer,0.0004595033824443817,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000044,6,thinking_minus_think_answer,-0.0015905587933957577,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000044,6,thinking_minus_no_think_answer,-0.001131055410951376,False,False
