model,model_label,model_sort_key,layer,delta_name,n,mean,median,ci_low,ci_high,fraction_below_zero
Qwen_Qwen3-1.7B,1.7B,1.7,6,think_answer_minus_no_think_answer,90,0.47506263520982545,0.5489597320556641,-0.03480201138390405,0.9623088942633727,0.4
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking_minus_no_think_answer,90,-3.299284103181627,-3.2632436752319336,-3.743085881339179,-2.828548378282123,0.9333333333333333
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking_minus_think_answer,90,-3.7743467383914524,-3.7250514030456534,-4.2291249301698475,-3.3317839945687195,0.9555555555555556
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer_minus_no_think_answer,90,0.37679307725694444,0.4349970817565927,0.16697190576129475,0.5733333002196414,0.3333333333333333
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking_minus_no_think_answer,90,-1.3068909380171034,-1.2024693489074707,-1.55934277176857,-1.0509363762537642,0.8444444444444444
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking_minus_think_answer,90,-1.6836840152740478,-1.7184090614318857,-1.8962433599101172,-1.4727199070983463,0.9555555555555556
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer_minus_no_think_answer,90,0.05178943210177965,0.11431264877319336,-0.19908816390567338,0.2913737728860642,0.4777777777777778
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking_minus_no_think_answer,90,-2.2045486132303873,-2.078828811645508,-2.52084731830491,-1.8894123974111345,0.9444444444444444
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking_minus_think_answer,90,-2.256338045332167,-2.132339000701905,-2.5273479441801703,-1.9861010622978212,0.9666666666666667
Qwen_Qwen3-8B,8B,8.0,6,think_answer_minus_no_think_answer,62,-0.3839117634680966,-0.4495258331298837,-0.9774956307103553,0.20405823107688634,0.5645161290322581
